id_municipio,uf,municipio,longitude,latitude
5633,RS,Aceguá,-54.161467,-31.866483
3898,RS,Agudo,-53.251458,-29.644743
3899,RS,Ajuricaba,-53.775668,-28.23417
3900,RS,Alecrim,-54.764849,-27.657856
3901,RS,Alegrete,-55.794862,-29.790166
3902,RS,Alegria,-54.055732,-27.834467
5643,RS,Almirante Tamandaré do Sul,-52.914209,-28.114942
3903,RS,Alpestre,-53.034127,-27.250159
3904,RS,Alto Alegre,-52.989255,-28.776865
3905,RS,Alto Feliz,-51.312278,-29.391928
3906,RS,Alvorada,-51.080857,-29.9914
3907,RS,Amaral Ferrador,-52.250951,-30.875579
3908,RS,Ametista do Sul,-53.183005,-27.360656
3909,RS,André da Rocha,-51.579729,-28.628294
3910,RS,Anta Gorda,-52.010191,-28.969772
3911,RS,Antônio Prado,-51.288263,-28.856544
3912,RS,Arambaré,-51.504586,-30.909248
3913,RS,Araricá,-50.929128,-29.616832
3914,RS,Aratiba,-52.297461,-27.397787
3919,RS,Arroio Grande,-53.086155,-32.232657
3915,RS,Arroio do Meio,-51.955735,-29.401353
5645,RS,Arroio do Padre,-52.424598,-31.438942
3916,RS,Arroio do Sal,-49.889537,-29.543872
3918,RS,Arroio do Tigre,-53.096627,-29.334829
3917,RS,Arroio dos Ratos,-51.727479,-30.087545
3920,RS,Arvorezinha,-52.17808,-28.87369
3921,RS,Augusto Pestana,-53.988292,-28.517249
3923,RS,Bagé,-54.09992,-31.32965
3924,RS,Balneário Pinhal,-50.233655,-30.241938
3933,RS,Barra Funda,-53.039067,-27.920467
3929,RS,Barra do Guarita,-53.710867,-27.192672
3930,RS,Barra do Quaraí,-57.549722,-30.202859
3931,RS,Barra do Ribeiro,-51.301358,-30.293884
3932,RS,Barra do Rio Azul,-52.408375,-27.406855
3928,RS,Barracão,-51.45855,-27.673862
3934,RS,Barros Cassal,-52.583571,-29.094686
3925,RS,Barão,-51.494908,-29.372474
3926,RS,Barão de Cotegipe,-52.37982,-27.620785
3927,RS,Barão do Triunfo,-51.738441,-30.389072
3935,RS,Benjamin Constant do Sul,-52.599504,-27.508565
3936,RS,Bento Gonçalves,-51.516476,-29.166212
3937,RS,Boa Vista das Missões,-53.310168,-27.667123
3938,RS,Boa Vista do Buricá,-54.108229,-27.66928
5635,RS,Boa Vista do Cadeado,-53.810821,-28.579055
5638,RS,Boa Vista do Incra,-53.391034,-28.818456
3939,RS,Boa Vista do Sul,-51.668725,-29.354406
3940,RS,Bom Jesus,-50.429453,-28.669703
3941,RS,Bom Princípio,-51.354763,-29.485634
3942,RS,Bom Progresso,-53.871608,-27.539856
3943,RS,Bom Retiro do Sul,-51.945593,-29.607076
3944,RS,Boqueirão do Leão,-52.428432,-29.30462
3945,RS,Bossoroca,-54.903507,-28.729089
5636,RS,Bozano,-53.771965,-28.365906
3946,RS,Braga,-53.740514,-27.617348
3947,RS,Brochier,-51.594516,-29.550136
3948,RS,Butiá,-51.960057,-30.11792
3950,RS,Cacequi,-54.821998,-29.888295
3951,RS,Cachoeira do Sul,-52.892756,-30.032988
3952,RS,Cachoeirinha,-51.101606,-29.947222
3953,RS,Cacique Doble,-51.659671,-27.767044
3954,RS,Caibaté,-54.645407,-28.290475
3955,RS,Caiçara,-53.42567,-27.279121
3956,RS,Camaquã,-51.80431,-30.848897
3957,RS,Camargo,-52.200263,-28.587979
3958,RS,Cambará do Sul,-50.146507,-29.047408
3959,RS,Campestre da Serra,-51.094148,-28.792585
3960,RS,Campina das Missões,-54.841648,-27.988833
3961,RS,Campinas do Sul,-52.624808,-27.717426
3962,RS,Campo Bom,-51.060601,-29.674694
3963,RS,Campo Novo,-53.805209,-27.6792
3964,RS,Campos Borges,-53.000812,-28.887148
3965,RS,Candelária,-52.789495,-29.668391
3967,RS,Candiota,-53.677275,-31.551553
3968,RS,Canela,-50.811921,-29.355993
3969,RS,Canguçu,-52.678254,-31.39598
3970,RS,Canoas,-51.185681,-29.912758
5648,RS,Canudos do Vale,-52.237436,-29.327124
3973,RS,Capela de Santana,-51.327998,-29.696088
3974,RS,Capitão,-51.98528,-29.267386
3975,RS,Capivari do Sul,-50.515152,-30.138251
5655,RS,Capão Bonito do Sul,-51.396093,-28.12544
3971,RS,Capão da Canoa,-50.028243,-29.764242
5632,RS,Capão do Cipó,-54.555782,-28.931243
3972,RS,Capão do Leão,-52.488879,-31.75646
3977,RS,Carazinho,-52.79326,-28.295844
3976,RS,Caraá,-50.431614,-29.786933
3978,RS,Carlos Barbosa,-51.502847,-29.296949
3979,RS,Carlos Gomes,-51.912127,-27.716679
3980,RS,Casca,-51.981452,-28.560516
3981,RS,Caseiros,-51.686108,-28.25816
3982,RS,Catuípe,-54.013215,-28.255356
3983,RS,Caxias do Sul,-51.179161,-29.162905
3949,RS,Caçapava do Sul,-53.482684,-30.51436
3984,RS,Centenário,-51.998408,-27.761547
3985,RS,Cerrito,-52.800442,-31.841917
3986,RS,Cerro Branco,-52.94061,-29.656986
3987,RS,Cerro Grande,-53.167233,-27.610621
3988,RS,Cerro Grande do Sul,-51.741846,-30.590472
3989,RS,Cerro Largo,-54.742791,-28.146251
3990,RS,Chapada,-53.066519,-28.055865
3991,RS,Charqueadas,-51.628872,-29.962478
3992,RS,Charrua,-52.015005,-27.949268
3993,RS,Chiapetta,-53.941871,-27.923017
3995,RS,Chuvisca,-51.973659,-30.75041
3994,RS,Chuí,-53.459369,-33.68663
3996,RS,Cidreira,-50.233747,-30.160386
3997,RS,Ciríaco,-51.874143,-28.341913
3998,RS,Colinas,-51.855564,-29.394781
3999,RS,Colorado,-52.99282,-28.525842
4000,RS,Condor,-53.490545,-28.207533
4001,RS,Constantina,-52.993799,-27.731974
5650,RS,Coqueiro Baixo,-52.094158,-29.180163
4002,RS,Coqueiros do Sul,-52.784221,-28.119421
4003,RS,Coronel Barros,-54.068621,-28.392148
4004,RS,Coronel Bicaco,-53.702164,-27.719699
5653,RS,Coronel Pilar,-51.684731,-29.269476
4005,RS,Cotiporã,-51.697067,-28.989106
4006,RS,Coxilha,-52.302343,-28.12797
4007,RS,Crissiumal,-54.099372,-27.49989
4008,RS,Cristal,-52.043618,-31.004634
4009,RS,Cristal do Sul,-53.242227,-27.451995
4010,RS,Cruz Alta,-53.604831,-28.645001
5644,RS,Cruzaltense,-52.652168,-27.667161
4011,RS,Cruzeiro do Sul,-51.992778,-29.514835
3966,RS,Cândido Godói,-54.751722,-27.951509
4012,RS,David Canabarro,-51.848205,-28.384907
4013,RS,Derrubadas,-53.864535,-27.264151
4014,RS,Dezesseis de Novembro,-55.061709,-28.219036
4015,RS,Dilermando de Aguiar,-54.212241,-29.705393
4016,RS,Dois Irmãos,-51.089776,-29.58356
4017,RS,Dois Irmãos das Missões,-53.530413,-27.662103
4018,RS,Dois Lajeados,-51.839584,-28.983006
4019,RS,Dom Feliciano,-52.102645,-30.700354
4020,RS,Dom Pedrito,-54.66936,-30.97559
4021,RS,Dom Pedro de Alcântara,-49.853007,-29.363872
4022,RS,Dona Francisca,-53.361737,-29.619507
4023,RS,Doutor Maurício Cardoso,-54.357746,-27.510309
4024,RS,Doutor Ricardo,-51.997155,-29.083957
4025,RS,Eldorado do Sul,-51.618702,-30.084676
4026,RS,Encantado,-51.870282,-29.235141
4027,RS,Encruzilhada do Sul,-52.520381,-30.542998
4028,RS,Engenho Velho,-52.91454,-27.706026
4030,RS,Entre Rios do Sul,-52.734708,-27.529836
4029,RS,Entre-Ijuís,-54.268588,-28.368556
4031,RS,Erebango,-52.300486,-27.854386
4032,RS,Erechim,-52.26969,-27.63638
4033,RS,Ernestina,-52.583566,-28.497674
4034,RS,Erval Grande,-52.574036,-27.392599
4035,RS,Erval Seco,-53.500501,-27.544314
4036,RS,Esmeralda,-51.19327,-28.051762
4037,RS,Esperança do Sul,-53.989081,-27.360276
4038,RS,Espumoso,-52.84608,-28.728633
4039,RS,Estação,-52.263536,-27.913468
4041,RS,Esteio,-51.184065,-29.851963
4042,RS,Estrela,-51.949508,-29.500207
4043,RS,Estrela Velha,-53.16387,-29.171269
4040,RS,Estância Velha,-51.184339,-29.65354
4044,RS,Eugênio de Castro,-54.15059,-28.531467
4045,RS,Fagundes Varela,-51.701425,-28.879386
4046,RS,Farroupilha,-51.341853,-29.222689
4047,RS,Faxinal do Soturno,-53.44839,-29.578836
4048,RS,Faxinalzinho,-52.678917,-27.42377
4049,RS,Fazenda Vilanova,-51.821714,-29.588511
4050,RS,Feliz,-51.303186,-29.452703
4051,RS,Flores da Cunha,-51.187457,-29.026147
4052,RS,Floriano Peixoto,-52.083775,-27.861391
4053,RS,Fontoura Xavier,-52.344455,-28.981655
4054,RS,Formigueiro,-53.495928,-30.003518
5649,RS,Forquetinha,-52.098068,-29.382756
4055,RS,Fortaleza dos Valos,-53.224906,-28.798596
4056,RS,Frederico Westphalen,-53.395824,-27.358644
4057,RS,Garibaldi,-51.535179,-29.258979
4058,RS,Garruchos,-55.638284,-28.194414
4059,RS,Gaurama,-52.091529,-27.585587
4060,RS,General Câmara,-51.761178,-29.903173
4061,RS,Gentil,-52.033695,-28.431641
4062,RS,Getúlio Vargas,-52.229357,-27.891093
4063,RS,Giruá,-54.35168,-28.029664
4064,RS,Glorinha,-50.773363,-29.879798
4065,RS,Gramado,-50.876164,-29.373351
4067,RS,Gramado Xavier,-52.579491,-29.270571
4066,RS,Gramado dos Loureiros,-52.914861,-27.442895
4068,RS,Gravataí,-50.986891,-29.941319
4069,RS,Guabiju,-51.69483,-28.542083
4071,RS,Guaporé,-51.889542,-28.839917
4072,RS,Guarani das Missões,-54.562937,-28.149117
4070,RS,Guaíba,-51.323314,-30.108592
4073,RS,Harmonia,-51.418502,-29.545556
4074,RS,Herval,-53.394362,-32.023985
4075,RS,Herveiras,-52.655314,-29.455239
4076,RS,Horizontina,-54.305336,-27.628238
4077,RS,Hulha Negra,-53.866702,-31.406721
4078,RS,Humaitá,-53.969525,-27.569065
4079,RS,Ibarama,-53.129493,-29.420321
4080,RS,Ibiaçá,-51.859851,-28.056556
4081,RS,Ibiraiaras,-51.63767,-28.374095
4082,RS,Ibirapuitã,-52.515796,-28.624707
4083,RS,Ibirubá,-53.096124,-28.630161
4084,RS,Igrejinha,-50.791894,-29.569318
4085,RS,Ijuí,-53.91996,-28.388048
4086,RS,Ilópolis,-52.125816,-28.92825
4087,RS,Imbé,-50.128068,-29.975269
4088,RS,Imigrante,-51.774752,-29.350776
4089,RS,Independência,-54.18864,-27.835411
4090,RS,Inhacorá,-54.014978,-27.875187
4092,RS,Ipiranga do Sul,-52.427124,-27.940366
4091,RS,Ipê,-51.285931,-28.817098
4093,RS,Iraí,-53.254322,-27.19507
4094,RS,Itaara,-53.772494,-29.601285
4095,RS,Itacurubi,-55.24467,-28.791281
4096,RS,Itapuca,-52.169283,-28.776844
4097,RS,Itaqui,-56.551478,-29.131051
5658,RS,Itati,-50.101571,-29.497386
4098,RS,Itatiba do Sul,-52.453776,-27.384631
4099,RS,Ivorá,-53.584214,-29.523224
4100,RS,Ivoti,-51.153326,-29.599463
4101,RS,Jaboticaba,-53.276173,-27.634703
5640,RS,Jacuizinho,-53.065694,-29.040118
4102,RS,Jacutinga,-52.53724,-27.729135
4104,RS,Jaguari,-54.702993,-29.493559
4103,RS,Jaguarão,-53.377027,-32.560378
4105,RS,Jaquirana,-50.363681,-28.881098
4106,RS,Jari,-54.223711,-29.292234
4107,RS,Jóia,-54.114131,-28.643484
4108,RS,Júlio de Castilhos,-53.677168,-29.229855
5642,RS,Lagoa Bonita do Sul,-53.016956,-29.493874
4111,RS,Lagoa Vermelha,-51.524815,-28.209335
4109,RS,Lagoa dos Três Cantos,-52.861848,-28.567611
4110,RS,Lagoão,-52.799698,-29.234796
